第1条引用, 在第3页, 左栏, 下面部分, 使用倒数第2篇文献
第2条引用, 在第7页, 右栏, 中间部分, 使用第2篇文献
第3条引用, 在第11页, 右栏, 上面部分, 使用第8篇文献
第4条引用, 在第8页, 右栏, 中间部分, 使用第2篇文献
第5条引用, 在第7页, 左栏, 下面部分, 使用倒数第5篇文献
第6条引用, 在第3页, 右栏, 下面部分, 使用倒数第5篇文献
第7条引用, 在第9页, 右栏, 下面部分, 使用第9篇文献
第8条引用, 在第1页, 右栏, 下面部分, 使用倒数第11篇文献
第9条引用, 在第8页, 左栏, 中间部分, 使用倒数第7篇文献
第10条引用, 在第2页, 右栏, 中间部分, 使用第4篇文献
第11条引用, 在第1页, 右栏, 上面部分, 使用第1篇文献
第12条引用, 在第5页, 左栏, 中间部分, 使用第10篇文献
第13条引用, 在第5页, 左栏, 上面部分, 使用倒数第2篇文献
第14条引用, 在第5页, 左栏, 中间部分, 使用倒数第1篇文献
第15条引用, 在第3页, 右栏, 上面部分, 使用倒数第11篇文献
第16条引用, 在第4页, 左栏, 上面部分, 使用第6篇文献
第17条引用, 在第9页, 左栏, 上面部分, 使用倒数第5篇文献
第18条引用, 在第11页, 右栏, 中间部分, 使用倒数第7篇文献
第19条引用, 在第5页, 右栏, 中间部分, 使用第9篇文献 
第20条引用, 在第5页, 右栏, 上面部分, 使用倒数第12篇文献
第21条引用, 在第7页, 右栏, 中间部分, 使用第1篇文献
第22条引用, 在第7页, 右栏, 中间部分, 使用倒数第7篇文献
第23条引用, 在第3页, 右栏, 中间部分, 使用倒数第7篇文献
第24条引用, 在第5页, 左栏, 上面部分, 使用第4篇文献
第25条引用, 在第3页, 左栏, 中间部分, 使用第5篇文献
第26条引用, 在第9页, 右栏, 中间部分, 使用第8篇文献
第27条引用, 在第11页, 右栏, 下面部分, 使用第10篇文献
第28条引用, 在第9页, 右栏, 下面部分, 使用倒数第7篇文献
第29条引用, 在第2页, 左栏, 下面部分, 使用倒数第1篇文献
第30条引用, 在第10页, 右栏, 上面部分, 使用第3篇文献
第31条引用, 在第11页, 右栏, 上面部分, 使用倒数第10篇文献
第32条引用, 在第9页, 左栏, 下面部分, 使用倒数第10篇文献
第33条引用, 在第5页, 右栏, 上面部分, 使用第5篇文献
第34条引用, 在第7页, 左栏, 下面部分, 使用第8篇文献
第35条引用, 在第8页, 左栏, 中间部分, 使用第7篇文献
第36条引用, 在第8页, 左栏, 中间部分, 使用第10篇文献
第37条引用, 在第5页, 右栏, 下面部分, 使用第8篇文献
第38条引用, 在第2页, 左栏, 上面部分, 使用第9篇文献
第39条引用, 在第4页, 左栏, 中间部分, 使用第9篇文献
第40条引用, 在第9页, 左栏, 上面部分, 使用第4篇文献
第41条引用, 在第7页, 右栏, 中间部分, 使用第4篇文献
第42条引用, 在第1页, 左栏, 下面部分, 使用第5篇文献
第43条引用, 在第6页, 左栏, 下面部分, 使用第7篇文献
第44条引用, 在第4页, 左栏, 上面部分, 使用倒数第12篇文献
第45条引用, 在第8页, 右栏, 中间部分, 使用倒数第4篇文献
第46条引用, 在第9页, 右栏, 上面部分, 使用倒数第7篇文献
第47条引用, 在第9页, 右栏, 下面部分, 使用倒数第12篇文献
第48条引用, 在第2页, 左栏, 上面部分, 使用第5篇文献
第49条引用, 在第2页, 左栏, 下面部分, 使用倒数第3篇文献
第50条引用, 在第10页, 左栏, 下面部分, 使用倒数第11篇文献
第51条引用, 在第9页, 右栏, 上面部分, 使用第8篇文献
第52条引用, 在第7页, 左栏, 中间部分, 使用第8篇文献
第53条引用, 在第6页, 右栏, 上面部分, 使用倒数第11篇文献
第54条引用, 在第7页, 左栏, 中间部分, 使用倒数第7篇文献
第55条引用, 在第4页, 右栏, 中间部分, 使用第8篇文献
第56条引用, 在第5页, 左栏, 上面部分, 使用第10篇文献
第57条引用, 在第1页, 右栏, 上面部分, 使用第10篇文献
第58条引用, 在第7页, 右栏, 中间部分, 使用倒数第6篇文献
第59条引用, 在第5页, 右栏, 上面部分, 使用倒数第3篇文献
第60条引用, 在第10页, 左栏, 下面部分, 使用倒数第2篇文献
第61条引用, 在第1页, 左栏, 中间部分, 使用倒数第12篇文献
第62条引用, 在第3页, 左栏, 下面部分, 使用倒数第10篇文献
第63条引用, 在第8页, 左栏, 中间部分, 使用倒数第9篇文献
第64条引用, 在第9页, 左栏, 上面部分, 使用第5篇文献
第65条引用, 在第7页, 右栏, 上面部分, 使用倒数第2篇文献
第66条引用, 在第6页, 左栏, 上面部分, 使用第4篇文献
第67条引用, 在第1页, 左栏, 中间部分, 使用倒数第12篇文献
第68条引用, 在第11页, 右栏, 下面部分, 使用第10篇文献
第69条引用, 在第7页, 左栏, 中间部分, 使用第10篇文献
第70条引用, 在第6页, 左栏, 下面部分, 使用第8篇文献
第71条引用, 在第8页, 右栏, 下面部分, 使用倒数第2篇文献
第72条引用, 在第8页, 左栏, 下面部分, 使用倒数第7篇文献
第73条引用, 在第11页, 左栏, 上面部分, 使用倒数第4篇文献
第74条引用, 在第9页, 左栏, 中间部分, 使用第2篇文献
第75条引用, 在第2页, 右栏, 下面部分, 使用倒数第4篇文献
第76条引用, 在第6页, 左栏, 中间部分, 使用第4篇文献
第77条引用, 在第10页, 右栏, 下面部分, 使用倒数第6篇文献
第78条引用, 在第4页, 右栏, 上面部分, 使用第10篇文献
第79条引用, 在第9页, 左栏, 中间部分, 使用倒数第9篇文献
第80条引用, 在第6页, 左栏, 中间部分, 使用第2篇文献
第81条引用, 在第8页, 左栏, 中间部分, 使用第2篇文献
第82条引用, 在第1页, 左栏, 上面部分, 使用倒数第9篇文献
第83条引用, 在第8页, 右栏, 下面部分, 使用倒数第3篇文献
第84条引用, 在第5页, 左栏, 上面部分, 使用第4篇文献
第85条引用, 在第5页, 左栏, 上面部分, 使用倒数第6篇文献
第86条引用, 在第3页, 右栏, 上面部分, 使用倒数第5篇文献
第87条引用, 在第9页, 左栏, 下面部分, 使用倒数第9篇文献
第88条引用, 在第9页, 右栏, 上面部分, 使用倒数第11篇文献
第89条引用, 在第9页, 左栏, 下面部分, 使用倒数第11篇文献
第90条引用, 在第1页, 右栏, 上面部分, 使用倒数第3篇文献
